timestamp,track_id,status,EAR,MAR
1758691145.8174324,1,Binh thuong,0.2538,0.0071
1758691146.3254735,1,Binh thuong,0.2025,0.0289
1758691146.8308926,1,Binh thuong,0.2790,0.0182
1758691147.3372936,1,Binh thuong,0.2558,0.0193
1758691147.5540876,2,Binh thuong,0.3041,0.0462
1758691148.0674727,2,Binh thuong,0.3457,0.0337
1758691148.577776,2,Binh thuong,0.3458,0.0342
1758691149.0865347,2,Binh thuong,0.3406,0.0739
1758691149.5980558,2,Binh thuong,0.3434,0.0214
1758691150.1117685,2,Binh thuong,0.3223,0.0106
1758691150.615936,2,Binh thuong,0.3270,0.0107
1758691151.1251674,2,Binh thuong,0.3188,0.0340
1758691151.639535,2,Binh thuong,0.3278,0.0132
1758691152.1535108,2,Binh thuong,0.3181,0.0189
1758691152.6654918,2,Binh thuong,0.3120,0.0127
1758691153.169417,2,Binh thuong,0.3233,0.0087
1758691153.67921,2,Binh thuong,0.3134,0.0081
1758691154.192414,2,Binh thuong,0.2702,0.0456
1758691154.6965828,2,Binh thuong,0.2626,0.0679
1758691155.2060573,2,Binh thuong,0.2519,0.0243
1758691155.7127821,2,Binh thuong,0.2637,0.0226
1758691156.2171106,2,Binh thuong,0.2699,0.0180
1758691156.7246287,2,Binh thuong,0.2992,0.0235
1758691157.229949,2,Binh thuong,0.2903,0.0224
1758691157.7376883,2,Binh thuong,0.2456,0.1272
1758691158.251005,2,Binh thuong,0.2401,0.1032
1758691158.7645638,2,Binh thuong,0.2496,0.0299
1758691159.274192,2,Binh thuong,0.2490,0.1311
1758691159.7871635,2,Binh thuong,0.2345,0.0771
1758691160.295524,2,Binh thuong,0.2409,0.0844
1758691160.8107824,2,Binh thuong,0.2735,0.0724
1758691160.9833224,1,Binh thuong,0.2734,0.0186
1758691161.323231,2,Binh thuong,0.2624,0.1730
1758691161.4868968,1,Binh thuong,0.3797,0.0463
1758691161.6295674,3,Binh thuong,0.2355,0.0256
1758691161.8389847,2,Binh thuong,0.3276,0.0224
1758691162.1832664,3,Binh thuong,0.2752,0.0679
1758691162.3681865,2,Binh thuong,0.3068,0.0323
1758691162.6939504,3,Binh thuong,0.2870,0.1844
1758691162.8820434,2,Binh thuong,0.3237,0.0231
1758691163.205557,3,Binh thuong,0.3313,0.0231
1758691163.6118689,1,Binh thuong,0.2826,0.0933
1758691164.048188,2,Binh thuong,0.3179,0.0151
1758691164.5560937,2,Binh thuong,0.3270,0.1030
1758691165.0721061,2,Binh thuong,0.2983,0.0034
1758691165.579167,2,Binh thuong,0.3070,0.0089
1758691166.0848238,2,Binh thuong,0.2925,0.0121
1758691166.5898592,2,Binh thuong,0.3041,0.0175
1758691167.1041334,2,Binh thuong,0.2982,0.0136
1758691167.6177862,2,Binh thuong,0.3036,0.0059
1758691168.1193163,2,Binh thuong,0.2654,0.0616
1758691168.6245003,2,Binh thuong,0.2318,0.1792
1758691169.1268618,2,Binh thuong,0.2505,0.2528
1758691169.6304653,2,Binh thuong,0.2297,0.3621
1758691170.1380296,2,Binh thuong,0.2331,0.3782
1758691170.6517587,2,Met moi,0.2606,0.5206
1758691171.1518643,2,Binh thuong,0.2647,0.5274
1758691171.6619592,2,Binh thuong,0.2554,0.5481
1758691172.1675622,2,Binh thuong,0.2506,0.3939
1758691172.67609,2,Binh thuong,0.2827,0.3261
1758691173.188607,2,Binh thuong,0.2600,0.2862
